Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Text,Cleaned_Text
depressed,WolfyNexus,1390653312387620865,2021-05-07 13:02:41,0,,,"4 year is way to long of a time.. of being nothing but unhappy / depressed..

..and of late it's been happening more and more to the point of last month it was twice to 3 times a week and now

..it's been the a week already in may and I've been like this everyday...",four year is way to long of a time.. of being nothing but unhappy / depressed.. ..and of late it's been happening more and more to the point of last month it was twice to three times a week and now ..it's been the a week already in may and I've been like this everyday...
depressed,Abdullah_Pmln94,1390653307740372995,2021-05-07 13:02:40,0,,,"There is education minister of your party in AJK, ask him to cancel exams..if he does so, then 5M students will cast vote for @MaryamNSharif your party because students are much depressed.
#CancelAllExams","There is education minister of your party in AJK, ask him to cancel exams..if he does so, then fiveM students will cast vote for your party because students are much depressed. CancelAllExams"
depressed,epsiIonphi,1390653294750617600,2021-05-07 13:02:37,0,,,"college kids, angst, angry cat, angst, gay vampires, angst, sax for your soul, angst, depressed kids, did I say angst? https://t.co/NnNu81YvTR","college kids, angst, angry cat, angst, gay vampires, angst, sax for your soul, angst, depressed kids, did I say angst?"
depressed,Mariam85133341,1390653284835332097,2021-05-07 13:02:34,0,,,"RT @Hanan15071176: #التنسيق_التكميلى_باطل
#التكليف_الكامل_للصيادله
#محاكمه_وزيره_الصحه
Depressed and frustrated 
That's the feeling of all…",التنسيق_التكميلى_باطل التكليف_الكامل_للصيادله محاكمه_وزيره_الصحه Depressed and frustrated That's the feeling of all…
depressed,depressed_cule_,1390653276245217286,2021-05-07 13:02:32,0,,,"@jom44n True but since it isn't fardh for women pray in Masajid, isn't it logical to use women spaces for men cause of social distancing and all? (Especially for small to medium masjids)","True but since it isn't fardh for women pray in Masajid, isn't it logical to use women spaces for men cause of social distancing and all? (Especially for small to medium masjids)"
depressed,inluvwithreki,1390653265755484161,2021-05-07 13:02:30,0,,,"RT @andrea_beattyy: Hi, I'm a young black lesbian woman in distress, I made the biggest mistake of my life I came out to my religious paren…","Hi, I'm a young black lesbian woman in distress, I made the biggest mistake of my life I came out to my religious paren…"
depressed,headnotthetail2,1390653263767347203,2021-05-07 13:02:29,0,,,RT @AndrewThumper: @barbs_olie @SouthSideGAClay Black people shower longer when they’re depressed,Black people shower longer when they’re depressed
depressed,jolibourne,1390653251029245954,2021-05-07 13:02:26,0,,,"@wintrucearig I would never see myself doing it unless it’s for self defense. Even than, taking away someone’s precious years of life away from them would have me feeling depressed","I would never see myself doing it unless it’s for self defense. Even than, taking away someone’s precious years of life away from them would have me feeling depressed"
depressed,RemindingFlame,1390653249099681796,2021-05-07 13:02:26,0,,,"It's okay to feel sad and depressed. It is hard sometimes, I know... but keep it up, don't let that beautiful flame of yours be put out.","It's okay to feel sad and depressed. It is hard sometimes, I know... but keep it up, don't let that beautiful flame of yours be put out."
depressed,atifsafdar10,1390653233979342848,2021-05-07 13:02:22,0,,,"@PakPMO Im really depressed after listening the decision of @Shafqat_Mahmood  its ok im not saying to cancel 12 board exams .., Atleast give our right give us more time period . How come you have decided to take 12 exams in june . #justicefor12thstudents","Im really depressed after listening the decision of its ok im not saying to cancel twelve board exams .., Atleast give our right give us more time period . How come you have decided to take twelve exams in june . justicefortwelvethstudents"
